event,key_point,camera,preset,system,unit,cable,device_name,note
1741,148,5021,11,2,1,0,TU1,东二段
1742,64,5021,12,2,1,0,,
1743,20,5021,13,2,1,0,,
1744,6,5021,14,2,1,0,,
1745,4,5021,15,2,1,1,PM1,
1746,5,5021,16,2,1,1,,
1747,6,5021,17,2,1,1,,
1748,8,5021,18,2,1,1,,
1749,28,5021,19,2,1,1,,
1750,55,5021,20,2,1,1,,
1751,97,5021,21,2,1,1,,
1752,133,5021,22,2,1,1,,
1753,146,5017,11,2,1,1,,
1753,181,5017,11,2,2,0,LU2,
1754,102,5017,12,2,2,0,,
1755,41,5017,13,2,2,0,,
1756,18,5017,14,2,2,0,,
1757,8,5017,15,2,2,0,,
1758,5,5017,16,2,2,0,,
1759,4,5017,17,2,2,0,,
127,175,5015,14,2,2,1,PM2,
133,136,5019,12,2,2,1,,
132,109,5019,11,2,2,1,,
128,93,5016,11,2,2,1,,
129,40,5016,12,2,2,1,,
130,17,5016,13,2,2,1,,
131,8,5018,11,2,2,1,,
119,16,5014,12,2,3,0,LU3,
120,28,5013,12,2,3,0,,
121,104,5014,13,2,3,0,,
122,130,5014,14,2,3,0,,
123,138,5014,15,2,3,0,,
134,147,5013,13,2,3,0,,
124,150,5015,11,2,3,0,,
125,159,5015,12,2,3,0,,
126,175,5015,13,2,3,0,,
113,190,5011,16,2,3,1,PM3,
114,111,5012,11,2,3,1,,
115,52,5012,12,2,3,1,,
116,42,5012,13,2,3,1,,
117,37,5014,11,2,3,1,,
200,29,5013,21,2,3,1,,
118,17,5013,11,2,3,1,,
107,6,5010,15,2,4,0,LU4,
108,11,5011,11,2,4,0,,
109,20,5011,12,2,4,0,,
110,61,5011,13,2,4,0,,
111,102,5011,14,2,4,0,,
112,175,5011,15,2,4,0,,
101,175,5008,11,2,4,1,PM4,
102,123,5008,12,2,4,1,,
103,103,5010,11,2,4,1,,
104,95,5010,12,2,4,1,,
105,84,5010,13,2,4,1,,
106,43,5010,14,2,4,1,,
51,10,5056,23,6,1,0,PM1-A,东六段
52,24,5057,11,6,1,0,,
53,38,5057,12,6,1,0,,
54,49,5057,13,6,1,0,,
55,55,5057,14,6,1,0,,
56,58,5057,15,6,1,0,,
57,63,5058,11,6,1,0,,
58,64,5058,12,6,1,0,,
59,65,5058,13,6,1,0,,
60,70,5058,14,6,1,0,,
61,82,5058,15,6,1,0,,
62,99,5058,16,6,1,0,,
63,121,5058,17,6,1,0,,
64,149,5059,11,6,1,0,,
65,173,5059,12,6,1,0,,
585,165,5055,17,6,1,1,PM1-B,
586,158,5055,18,6,1,1,,
587,140,5055,19,6,1,1,,
588,126,5055,20,6,1,1,,
589,120,5055,21,6,1,1,,
590,115,5056,11,6,1,1,,
591,112,5056,12,6,1,1,,
592,110,5056,13,6,1,1,,
593,107,5056,14,6,1,1,,
