name,min,max,action,args
SEG_2_2,1,6,CAM_5021,14
SEG_2_2,7,20,CAM_5021,13
SEG_2_2,21,64,CAM_5021,12
SEG_2_1,65,145,CAM_5021,11
SEG_2_3,1,4,CAM_5021,15
SEG_2_3,5,5,CAM_5021,16
SEG_2_3,6,6,CAM_5021,17
SEG_2_3,7,8,CAM_5021,18
SEG_2_3,9,27,CAM_5021,19
SEG_2_4,28,28,CAM_5021,19
SEG_2_4,29,55,CAM_5021,20
SEG_2_4,56,75,CAM_5021,21
SEG_2_5,76,97,CAM_5021,21
SEG_2_5,98,132,CAM_5021,22
SEG_2_6,133,133,CAM_5021,22
SEG_2_6,134,143,CAM_5017,11
SEG_2_9,1,4,CAM_5017,17
SEG_2_9,5,5,CAM_5017,16
SEG_2_9,6,8,CAM_5017,15
SEG_2_9,9,18,CAM_5017,14
SEG_2_9,19,41,CAM_5017,13
SEG_2_8,93,102,CAM_5017,12
SEG_2_9,42,92,CAM_5017,12
SEG_2_7,103,178,CAM_5017,11
SEG_2_10,1,8,CAM_5018,11
SEG_2_10,9,17,CAM_5016,13
SEG_2_10,18,40,CAM_5016,12
SEG_2_10,41,62,CAM_5016,11
SEG_2_11,63,93,CAM_5016,11
SEG_2_11,94,109,CAM_5019,11
SEG_2_12,110,114,CAM_5019,12
SEG_2_13,115,136,CAM_5019,12
SEG_2_13,137,154,CAM_5015,14
SEG_2_14,155,173,CAM_5015,14
SEG_2_20,1,16,CAM_5014,12
SEG_2_19,26,28,CAM_5013,12
SEG_2_20,17,25,CAM_5013,12
SEG_2_17,85,104,CAM_5014,13
SEG_2_18,57,84,CAM_5014,13
SEG_2_19,29,56,CAM_5014,13
SEG_2_17,105,130,CAM_5014,14
SEG_2_17,131,138,CAM_5014,15
SEG_2_16,141,147,CAM_5013,13
SEG_2_17,139,140,CAM_5013,13
SEG_2_15,148,150,CAM_5015,11
SEG_2_15,151,159,CAM_5015,12
SEG_2_15,160,173,CAM_5015,13
SEG_2_21,1,17,CAM_5013,11
SEG_2_21,18,29,CAM_5013,21
SEG_2_21,30,34,CAM_5014,11
SEG_2_22,35,37,CAM_5014,11
SEG_2_22,38,42,CAM_5012,13
SEG_2_22,43,52,CAM_5012,12
SEG_2_22,53,88,CAM_5012,11
SEG_2_23,89,111,CAM_5012,11
SEG_2_23,112,139,CAM_5011,16
SEG_2_24,140,190,CAM_5011,16
SEG_2_27,1,6,CAM_5010,15
SEG_2_26,9,11,CAM_5011,11
SEG_2_27,7,8,CAM_5011,11
SEG_2_26,12,20,CAM_5011,12
SEG_2_26,21,61,CAM_5011,13
SEG_2_25,92,102,CAM_5011,14
SEG_2_26,62,91,CAM_5011,14
SEG_2_25,103,170,CAM_5011,15
SEG_2_28,1,4,CAM_5010,14
SEG_2_29,5,43,CAM_5010,14
SEG_2_29,44,49,CAM_5010,13
SEG_2_30,50,84,CAM_5010,13
SEG_2_30,85,95,CAM_5010,12
SEG_2_31,96,99,CAM_5010,11
SEG_2_32,100,103,CAM_5010,11
SEG_2_32,104,123,CAM_5008,12
SEG_2_32,124,159,CAM_5008,11
SEG_2_33,160,170,CAM_5008,11
SEG_6_4,1,10,CAM_5056,23
SEG_6_3,13,24,CAM_5057,11
SEG_6_4,11,12,CAM_5057,11
SEG_6_3,25,38,CAM_5057,12
SEG_6_3,39,49,CAM_5057,13
SEG_6_3,50,55,CAM_5057,14
SEG_6_3,56,58,CAM_5057,15
SEG_6_2,62,63,CAM_5058,11
SEG_6_3,59,61,CAM_5058,11
SEG_6_2,64,64,CAM_5058,12
SEG_6_2,65,65,CAM_5058,13
SEG_6_2,66,70,CAM_5058,14
SEG_6_2,71,82,CAM_5058,15
SEG_6_2,83,99,CAM_5058,16
SEG_6_1,121,121,CAM_5058,17
SEG_6_2,100,120,CAM_5058,17
SEG_6_1,122,149,CAM_5059,11
SEG_6_1,150,173,CAM_5059,12
SEG_6_5,1,9,CAM_5056,22
SEG_6_5,10,22,CAM_5056,21
SEG_6_5,23,26,CAM_5056,20
SEG_6_6,27,30,CAM_5056,20
SEG_6_6,31,37,CAM_5056,19
SEG_6_6,38,44,CAM_5056,18
SEG_6_7,45,45,CAM_5056,18
SEG_6_7,46,53,CAM_5056,17
SEG_6_8,54,62,CAM_5056,17
SEG_6_8,63,80,CAM_5056,16
SEG_6_8,81,97,CAM_5056,15
SEG_6_8,98,107,CAM_5056,14
SEG_6_9,108,110,CAM_5056,13
SEG_6_9,111,112,CAM_5056,12
SEG_6_9,113,115,CAM_5056,11
SEG_6_9,116,120,CAM_5055,21
SEG_6_9,121,126,CAM_5055,20
SEG_6_9,127,139,CAM_5055,19
SEG_6_10,140,140,CAM_5055,19
SEG_6_10,141,158,CAM_5055,18
SEG_6_10,159,165,CAM_5055,17
SEG_6_16,1,17,CAM_5052,21
SEG_6_16,18,30,CAM_5052,22
SEG_6_15,31,42,CAM_5053,11
SEG_6_15,43,49,CAM_5053,12
SEG_6_14,51,52,CAM_5053,13
SEG_6_15,50,50,CAM_5053,13
SEG_6_14,53,54,CAM_5054,11
SEG_6_13,56,57,CAM_5054,12
SEG_6_14,55,55,CAM_5054,12
SEG_6_13,58,59,CAM_5054,13
SEG_6_13,60,70,CAM_5054,14
SEG_6_13,71,97,CAM_5054,15
SEG_6_12,105,110,CAM_5055,11
SEG_6_13,98,104,CAM_5055,11
SEG_6_12,111,123,CAM_5055,12
SEG_6_12,124,134,CAM_5055,13
SEG_6_11,143,148,CAM_5055,14
SEG_6_12,135,142,CAM_5055,14
SEG_6_11,149,162,CAM_5055,15
SEG_6_11,163,170,CAM_5055,16
SEG_6_17,1,29,CAM_5052,11
SEG_6_17,30,35,CAM_5052,19
SEG_6_17,36,48,CAM_5052,18
SEG_6_18,49,49,CAM_5052,18
SEG_6_19,50,59,CAM_5052,17
SEG_6_20,60,62,CAM_5052,17
SEG_6_20,63,77,CAM_5052,16
SEG_6_20,78,82,CAM_5052,15
SEG_6_20,83,85,CAM_5052,14
SEG_6_20,86,89,CAM_5052,13
SEG_6_20,90,90,CAM_5052,12
SEG_6_21,91,91,CAM_5052,12
SEG_6_21,92,93,CAM_5052,11
SEG_6_21,94,103,CAM_5051,12
SEG_6_21,104,130,CAM_5051,11
SEG_6_21,131,147,CAM_5050,19
SEG_6_22,148,157,CAM_5050,19
SEG_6_23,158,159,CAM_5050,19
SEG_6_23,160,182,CAM_5050,18
SEG_6_29,4,10,CAM_5049,11
SEG_6_30,1,3,CAM_5049,11
SEG_6_29,11,24,CAM_5048,16
SEG_6_29,25,32,CAM_5048,17
SEG_6_28,39,45,CAM_5048,18
SEG_6_29,33,38,CAM_5048,18
SEG_6_28,46,59,CAM_5048,19
SEG_6_28,60,79,CAM_5049,12
SEG_6_28,80,89,CAM_5049,13
SEG_6_28,90,95,CAM_5049,14
SEG_6_27,96,98,CAM_5049,15
SEG_6_27,99,100,CAM_5049,16
SEG_6_26,101,102,CAM_5049,17
SEG_6_26,103,104,CAM_5050,11
SEG_6_26,105,110,CAM_5050,12
SEG_6_25,118,120,CAM_5050,13
SEG_6_26,111,117,CAM_5050,13
SEG_6_25,121,130,CAM_5050,14
SEG_6_25,131,138,CAM_5050,15
SEG_6_24,146,151,CAM_5050,16
SEG_6_25,139,145,CAM_5050,16
SEG_6_24,152,170,CAM_5050,17
SEG_6_31,1,4,CAM_5048,15
SEG_6_31,5,20,CAM_5048,14
SEG_6_31,21,24,CAM_5048,13
SEG_6_32,25,26,CAM_5048,13
SEG_6_33,27,27,CAM_5048,13
SEG_6_33,28,29,CAM_5048,12
SEG_6_33,30,32,CAM_5047,13
SEG_6_33,33,34,CAM_5048,11
SEG_6_33,35,42,CAM_5047,12
SEG_6_33,43,62,CAM_5047,11
SEG_6_33,63,76,CAM_5045,19
SEG_6_33,77,80,CAM_5045,18
SEG_6_34,81,89,CAM_5045,18
SEG_6_34,90,103,CAM_5045,17
SEG_6_34,104,117,CAM_5045,16
SEG_6_34,118,130,CAM_5045,15
SEG_6_34,131,134,CAM_5045,14
SEG_6_35,135,142,CAM_5045,14
SEG_6_35,143,145,CAM_5045,13
SEG_6_36,146,153,CAM_5045,13
SEG_6_37,154,155,CAM_5045,13
SEG_6_37,156,159,CAM_5046,13
SEG_6_37,160,161,CAM_5046,12
SEG_6_37,162,163,CAM_5045,12
SEG_6_37,164,167,CAM_5046,11
SEG_6_38,168,170,CAM_5046,11
SEG_6_41,11,28,CAM_5044,24
SEG_6_42,1,10,CAM_5044,24
SEG_6_40,65,65,CAM_5044,25
SEG_6_41,29,64,CAM_5044,25
SEG_6_39,118,165,CAM_5044,26
SEG_6_40,66,117,CAM_5044,26
SEG_6_39,166,170,CAM_5045,11
SEG_6_43,1,24,CAM_5044,23
SEG_6_43,25,35,CAM_5044,22
SEG_6_43,36,40,CAM_5044,21
SEG_6_44,41,42,CAM_5044,20
SEG_6_44,43,43,CAM_5044,19
SEG_6_44,44,45,CAM_5044,18
SEG_6_44,46,52,CAM_5044,17
SEG_6_44,53,61,CAM_5044,16
SEG_6_44,62,81,CAM_5044,15
SEG_6_44,82,90,CAM_5044,14
SEG_6_44,91,92,CAM_5044,13
